,class,precision,recall,f1-score,support
0,__label__EDUCATION,0.9910287081339713,0.9770047169811321,0.9839667458432304,3392.0
1,__label__FOOD_AND_BEVERAGES,0.9944193528090626,0.9977602415425787,0.9960869958376377,364325.0
2,__label__GENERAL_MERCHANDISE,0.9966360531073065,0.9951029773172809,0.9958689251948913,386153.0
3,__label__GROCERIES,0.998198110746419,0.9959804835526714,0.9970880640928911,165194.0
4,__label__MORTGAGE,1.0,1.0,1.0,714.0
5,__label__OVERDRAFT,1.0,0.9979991996798719,0.9989985980372521,2499.0
6,__label__PETS,0.9990712074303405,0.9775825507421994,0.9882100750267953,6602.0
7,__label__RENT,0.9956728688879273,0.9758269720101781,0.9856500321267937,2358.0
8,__label__TRAVEL,0.9983776283488099,0.9979302692783681,0.9981538986885211,46866.0
9,macro avg,0.9970448810515377,0.9905763790115868,0.993780370538668,978103.0
10,weighted avg,0.9961633603810947,0.9961599136287282,0.9961589449112259,978103.0
OVERALL_ACCURACY,,0.9961599136287282,0.9961599136287282,0.9961599136287282,0.9961599136287282
