,class,precision,recall,f1-score,support
0,EDUCATION,0.9507561070182241,0.7169590643274854,0.8174695782630439,3420.0
1,FOOD_AND_BEVERAGES,0.9513635261852043,0.972794666429025,0.9619597470316982,359084.0
2,GENERAL_MERCHANDISE,0.9703930417401896,0.9593152048905115,0.964822326159101,388671.0
3,GROCERIES,0.9746509718039967,0.974046581188787,0.9743486827701963,164487.0
4,MORTGAGE,0.994061757719715,0.995243757431629,0.9946524064171123,841.0
5,OVERDRAFT,0.9939068100358422,0.9939068100358422,0.9939068100358422,2790.0
6,PETS,0.9900656946002243,0.9333836858006043,0.9608895109245005,6620.0
7,RENT,0.9535005224660397,0.8202247191011236,0.8818555206571635,2225.0
8,TRAVEL,0.9881251746297849,0.9437377690802349,0.965421538741526,44968.0
9,macro avg,0.9740915117999135,0.9232902509205826,0.9461473467777982,973106.0
10,weighted avg,0.9650242080510759,0.964843501119097,0.9647788066232282,973106.0
OVERALL_ACCURACY,,0.964843501119097,0.964843501119097,0.964843501119097,0.964843501119097
