,class,precision,recall,f1-score,support
0,EDUCATION,0.94,0.745,0.831,3420.0
1,FOOD_AND_BEVERAGES,0.951,0.973,0.962,359084.0
2,GENERAL_MERCHANDISE,0.972,0.958,0.965,388671.0
3,GROCERIES,0.973,0.976,0.974,164487.0
4,MORTGAGE,0.994,0.998,0.996,841.0
5,OVERDRAFT,0.995,0.996,0.996,2790.0
6,PETS,0.99,0.941,0.965,6620.0
7,RENT,0.958,0.831,0.89,2225.0
8,TRAVEL,0.987,0.945,0.966,44968.0
9,macro avg,0.973,0.929,0.949,973106.0
10,weighted avg,0.965,0.965,0.965,973106.0
OVERALL_ACCURACY,,0.965,0.965,0.965,0.965
