,class,precision,recall,f1-score,support
0,EDUCATION,0.93952802359882,0.7450292397660818,0.8310502283105022,3420.0
1,FOOD_AND_BEVERAGES,0.9507666506947772,0.972552383286362,0.9615361318068932,359084.0
2,GENERAL_MERCHANDISE,0.9718830107706524,0.9578975534578088,0.9648396045864653,388671.0
3,GROCERIES,0.972661905367668,0.9761744089198539,0.9744149917467715,164487.0
4,MORTGAGE,0.9940758293838863,0.9976218787158145,0.9958456973293769,841.0
5,OVERDRAFT,0.9949892627057981,0.996415770609319,0.995702005730659,2790.0
6,PETS,0.9904640813731723,0.9413897280966768,0.9653035935563816,6620.0
7,RENT,0.9580310880829016,0.8310112359550562,0.8900120336943441,2225.0
8,TRAVEL,0.9871119058124144,0.9452944315958015,0.9657507014574411,44968.0
9,macro avg,0.9732790841988989,0.929265181155864,0.9493838875798706,973106.0
10,weighted avg,0.964992750771192,0.9648065061771277,0.9647583960751857,973106.0
OVERALL_ACCURACY,,0.9648065061771277,0.9648065061771277,0.9648065061771277,0.9648065061771277
