,class,precision,recall,f1-score,support
0,EDUCATION,0.735,0.131,0.223,3420.0
1,FOOD_AND_BEVERAGES,0.503,0.949,0.657,359084.0
2,GENERAL_MERCHANDISE,0.88,0.436,0.584,388671.0
3,GROCERIES,0.954,0.42,0.584,164487.0
4,MORTGAGE,1.0,0.25,0.4,841.0
5,OVERDRAFT,0.987,0.824,0.898,2790.0
6,PETS,1.0,0.393,0.564,6620.0
7,RENT,0.982,0.096,0.175,2225.0
8,TRAVEL,0.978,0.519,0.678,44968.0
9,macro avg,0.891,0.447,0.529,973106.0
10,weighted avg,0.759,0.626,0.614,973106.0
OVERALL_ACCURACY,,0.626,0.626,0.626,0.626
